SetK,QueryType,Index,classifyMethod,v,homogeneity,completeness,adjusted_rand,fitness,numberOfDocumentsClustered,numDocs,percentClustered,numberOfClasses,numberOfClusters,clusterCountError,absClusterCountError,queryOnly,useNonIntersectingClustersForTrainingKNN,uniqueHits,totalHitsAllQueries,kPenalty,intersectRatio,k_for_knn,popSize,generation,job,maxFitJob,GA_Engine,Date 
k-discovered, Multi-Word-OR, NG3, KNN, 0.8346961879872843, 0.8346891221250398, 0.8347032539691587, 0.8885128813297184, 792.61, 1200, 1200, 100.0, 3, 3, 0, 0, allDocuments, true, 871, 927, 0.03, 0.5, 10, 120, 73, 0, 0,JENETICS.IO, Tue Dec 10 18:49:49 GMT 2024 
k-discovered, Multi-Word-OR, NG3, KNN, 0.8987822426637552, 0.8987475134881605, 0.8988169745234457, 0.9360547014092656, 824.46, 1200, 1200, 100.0, 3, 3, 0, 0, allDocuments, true, 906, 959, 0.03, 0.5, 10, 120, 98, 0, 0,JENETICS.IO, Wed Dec 11 11:09:28 GMT 2024 
k-discovered, Multi-Word-OR, NG3, KNN, 0.8621262034100361, 0.8661473118695258, 0.8581422585912053, 0.9118344527091927, 744.48, 1200, 1200, 100.0, 3, 4, 1, 1, allDocuments, true, 846, 962, 0.03, 0.5, 10, 120, 99, 0, 0,JENETICS.IO, Wed Dec 11 11:12:24 GMT 2024 
