dataset_name,ComplementNB_ARI,ComplementNB_V,num_classes,num_clusters,base_ARI,base_V,keyword_file_name,timestamp
CRISIS6,0.731502774,0.77632845,6,6,0.921618897,0.940947218,CRISIS6_keywordSet_0.json,2026-07-23T15:28:46.889793
CRISIS6,0.724353591,0.768690557,6,6,0.922401456,0.938687348,CRISIS6_keywordSet_1.json,2026-07-23T15:28:50.497502
NG5,0.875015199,0.84812848,5,5,0.939445598,0.918085261,NG5_keywordSet_0.json,2026-07-23T15:28:52.343424
NG5,0.86780569,0.845312378,5,5,0.932664706,0.911706572,NG5_keywordSet_1.json,2026-07-23T15:28:53.764830
R4,0.890433315,0.85243539,4,4,0.892457239,0.865490795,R4_keywordSet_0.json,2026-07-23T15:28:54.180984
R4,0.890433315,0.85243539,4,4,0.892457239,0.865490795,R4_keywordSet_1.json,2026-07-23T15:28:54.428857
,0.829923981,0.823888441,5,5,0.916840856,0.906734665,,
